0,1,2,8,8,0,11,13,8,15,17,19,21,23,25,27,33,35,39,41,41
1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,6,2,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
4,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,22,22,22
21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,28,31,28,28,28
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,36,36,36,36,36
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,44,44,44,44,44
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
